did,director_name
1,James Cameron
2,Gore Verbinski
3,Sam Mendes
4,Christopher Nolan
5,Doug Walker
6,Andrew Stanton
7,Sam Raimi
8,Nathan Greno
9,Joss Whedon
10,David Yates
11,Zack Snyder
12,Bryan Singer
13,Marc Forster
14,Andrew Adamson
15,Rob Marshall
16,Barry Sonnenfeld
17,Peter Jackson
18,Marc Webb
19,Ridley Scott
20,Chris Weitz
21,Anthony Russo
22,Peter Berg
23,Colin Trevorrow
24,Shane Black
25,Tim Burton
26,Brett Ratner
27,Dan Scanlon
28,Michael Bay
29,Joseph Kosinski
30,John Lasseter
31,Martin Campbell
32,Lee Unkrich
33,McG
34,James Wan
35,J.J. Abrams
36,Baz Luhrmann
37,Mike Newell
38,Guillermo del Toro
39,Steven Spielberg
40,Peter Sohn
41,Mark Andrews
42,Justin Lin
43,Roland Emmerich
44,Robert Zemeckis
45,Lana Wachowski
46,Pete Docter
47,Rob Letterman
48,Jon Favreau
49,Martin Scorsese
50,Rob Cohen
51,David Ayer
52,Tom Shadyac
53,Doug Liman
54,Kevin Reynolds
55,Stephen Sommers
56,Rupert Sanders
57,Robert Stromberg
58,Matt Reeves
59,Roland Joffé
60,Carl Rinsch
61,Mike Mitchell
62,Brad Bird
63,Don Hall
64,Rich Moore
65,Dean DeBlois
66,Jonathan Mostow
67,James Gunn
68,Hideaki Anno
69,David Fincher
70,Matthew Vaughn
71,Francis Lawrence
72,Jon Turteltaub
73,Wolfgang Petersen
74,James Bobin
75,Chris Miller
76,Duncan Jones
77,Alan Taylor
78,Michael Apted
79,Oliver Stone
80,Eric Darnell
81,Shawn Levy
82,Gavin Hood
83,Chris Buck
84,George Miller
85,Ron Howard
86,Kenneth Branagh
87,Byron Howard
88,Hoyt Yeatman
89,Jonathan Liebesman
90,Christopher McQuarrie
91,Joe Johnston
92,Steve Hickner
93,Jennifer Yuh Nelson
94,M. Night Shyamalan
95,Simon Wells
96,David Bowers
97,Joe Wright
98,Rob Minkoff
99,Lee Tamahori
100,Paul Feig
101,Alessandro Carloni
102,Peter Ramsey
103,Dean Parisot
104,Edward Zwick
105,Alex Proyas
106,Richard Donner
107,Ang Lee
108,Jon M. Chu
109,Breck Eisner
110,Hironobu Sakaguchi
111,Peter Weir
112,Bill Condon
113,Louis Leterrier
114,unknown
115,Alejandro G. Iñárritu
116,David Soren
117,Paul Greengrass
118,Mark Osborne
119,Peyton Reed
120,Tim Johnson
121,Phillip Noyce
122,Darren Aronofsky
123,Alfonso Cuarón
124,Eric Leighton
125,Matt Birch
126,Tom McGrath
127,Chris Columbus
128,Robert Schwentke
129,Carlos Saldanha
130,Guy Ritchie
131,Paul Verhoeven
132,John McTiernan
133,Tony Gilroy
134,Joel Schumacher
135,John Woo
136,Tim Story
137,Mark Steven Johnson
138,Neill Blomkamp
139,David Twohy
140,José Padilha
141,James L. Brooks
142,James Mangold
143,George Lucas
144,Kirk De Micco
145,Frédéric Forestier
146,Cedric Nicolas-Troyan
147,Roger Donaldson
148,Dave Green
149,Josh Trank
150,Brad Peyton
151,Roger Spottiswoode
152,Steven Soderbergh
153,Michel Gondry
154,Noam Murro
155,Raja Gosnell
156,Will Finn
157,Jan de Bont
158,Len Wiseman
159,Frank Coraci
160,Michael Mann
161,Bo Welch
162,Ron Clements
163,Christopher Barnard
164,Peter Chelsom
165,Dominic Sena
166,Tony Scott
167,Paul Weitz
168,Adam McKay
169,Chuck Russell
170,Quentin Tarantino
171,Gary Trousdale
172,Mark Dindal
173,Simon West
174,Stefen Fangmeier
175,Spike Jonze
176,Chris Wedge
177,Florian Henckel von Donnersmarck
178,Peter Hyams
179,Tom Tykwer
180,Pitof
181,Brad Silberling
182,Patrick Hughes
183,Ericson Core
184,Lawrence Guterman
185,Ron Underwood
186,Steve Martino
187,David Mamet
188,Yimou Zhang
189,Ash Brannon
190,Frank Oz
191,Jay Roach
192,Luc Besson
193,Michael Patrick King
194,Bibo Bergeron
195,Sergey Bodrov
196,Wally Pfister
197,Rupert Wyatt
198,Mark Waters
199,John Moore
200,John Lee Hancock
201,Renny Harlin
202,Phil Lord
203,Ben Stiller
204,Tony Bancroft
205,Timur Bekmambetov
206,Walt Becker
207,Dennis Dugan
208,Sydney Pollack
209,Thor Freudenthal
210,Brian De Palma
211,Mick Jackson
212,Alan J. Pakula
213,Kathryn Bigelow
214,John Milius
215,Andrey Konchalovskiy
216,Gary Ross
217,Paul W.S. Anderson
218,Genndy Tartakovsky
219,Kevin Lima
220,Daniel Espinosa
221,Nancy Meyers
222,Roger Allers
223,Neil Burger
224,Jean-Jacques Annaud
225,Sarah Smith
226,Martin Brest
227,Andrew Davis
228,Bob Fosse
229,Tarsem Singh
230,Edgar Wright
231,Jon Amiel
232,Peter Segal
233,Pete Travis
234,George A. Romero
235,Sylvester Stallone
236,Todd Phillips
237,Gary Winick
238,Mimi Leder
239,Seth Gordon
240,Adam Shankman
241,D.J. Caruso
242,Anthony Minghella
243,Albert Hughes
244,Les Mayfield
245,Joe Pytka
246,Scott Derrickson
247,Ivan Reitman
248,Eric Brevig
249,Kelly Asbury
250,Stephen Hopkins
251,Jonathan Demme
252,Henry Jaglom
253,James Algar
254,Vincent Ward
255,Steven Brill
256,Terry Gilliam
257,Lucile Hadzihalilovic
258,Barry Cook
259,Roger Christian
260,Joe Dante
261,Kevin Costner
262,Antony Hoffman
263,Jacques Perrin
