mid,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
1,1,CCH Pounder,Joel David Moore,Wes Studi,Action Adventure Fantasy Sci-Fi,avatar
2,2,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,pirates of the caribbean: at world's end
3,3,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Action Adventure Thriller,spectre
4,4,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Action Thriller,the dark knight rises
5,5,Doug Walker,Rob Walker,unknown,Documentary,star wars: episode vii - the force awakens 
6,6,Daryl Sabara,Samantha Morton,Polly Walker,Action Adventure Sci-Fi,john carter
7,7,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Romance,spider-man 3
8,8,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure Animation Comedy Family Fantasy Musical Romance,tangled
9,9,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,avengers: age of ultron
10,10,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,harry potter and the half-blood prince
11,11,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action Adventure Sci-Fi,batman v superman: dawn of justice
12,12,Kevin Spacey,Marlon Brando,Frank Langella,Action Adventure Sci-Fi,superman returns
13,13,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action Adventure,quantum of solace
14,2,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,pirates of the caribbean: dead man's chest
15,2,Johnny Depp,Ruth Wilson,Tom Wilkinson,Action Adventure Western,the lone ranger
16,11,Henry Cavill,Christopher Meloni,Harry Lennix,Action Adventure Fantasy Sci-Fi,man of steel
17,14,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action Adventure Family Fantasy,the chronicles of narnia: prince caspian
18,9,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,the avengers
19,15,Johnny Depp,Sam Claflin,Stephen Graham,Action Adventure Fantasy,pirates of the caribbean: on stranger tides
20,16,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action Adventure Comedy Family Fantasy Sci-Fi,men in black 3
21,17,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: the battle of the five armies
22,18,Emma Stone,Andrew Garfield,Chris Zylka,Action Adventure Fantasy,the amazing spider-man
23,19,Mark Addy,William Hurt,Scott Grimes,Action Adventure Drama History,robin hood
24,17,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: the desolation of smaug
25,20,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure Family Fantasy,the golden compass
26,17,Naomi Watts,Thomas Kretschmann,Evan Parke,Action Adventure Drama Romance,king kong
27,1,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama Romance,titanic
28,21,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action Adventure Sci-Fi,captain america: civil war
29,22,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action Adventure Sci-Fi Thriller,battleship
30,23,Bryce Dallas Howard,Judy Greer,Omar Sy,Action Adventure Sci-Fi Thriller,jurassic world
31,3,Albert Finney,Helen McCrory,Rory Kinnear,Action Adventure Thriller,skyfall
32,7,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance,spider-man 2
33,24,Robert Downey Jr.,Jon Favreau,Don Cheadle,Action Adventure Sci-Fi,iron man 3
34,25,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,alice in wonderland
35,26,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action Adventure Fantasy Sci-Fi Thriller,x-men: the last stand
36,27,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure Animation Comedy Family Fantasy,monsters university
37,28,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action Adventure Sci-Fi,transformers: revenge of the fallen
